0,,,,,,,,,,,,,Text identity,,,,,,Related entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,,Filiation,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date range CE,Date certainty,Date precision,Date evidence,Other instances,Type of filiation,Reissue date,Bibliographic references (primary),Bibliographic references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text edition,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
0,Description of the fields,Digital identifier of the inscription as text. Syntax: INS<corpus>00001,Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the text. 
Syntax: INS<corpus>00001",Designation of the text [= title in xml edition],Alternative identifier(s),Alternative designation(s),Alternative designation(s),Location on the artefact/conglomerate artefact/monument (free text),"ID of the artefact bearing the text. If there is more than one artefact bearing the text, use $ as separator.",ID of the conglomerate artefact bearing the text,ID of the monument bearing the text,"Text type (ideally only 1, choose misc. if you need to record more than 1)",Text type 2 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 3 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 4 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),"Writing technique (engraved, relief, painted, etc.)",Number of lines of this text preserved/observed on the artefact(s),Known or estimated total number of lines in this text,"Number of lines observed per zone – if multiple zones, use $ as separator and letter prefix plus colon for each zone (format A:10$B:12)","Height x Width of the inscribed zone or zones (cm) – if multiple zones, use $ as separator and letter prefix plus colon before h and w values ",Height of an average aksara (cm),Width of an average aksara (cm),YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,degree of certainty of the text's dating,degree of precision of the text's dating,evidence that indicates the date of the text,ID of other instances of the corresponding text,"Status of the given instance in relation with others (original, duplicate, reissue, undetermined)","In case of reissue, CE date of reissue (YYYY or YYYY-YYYY)",Bibliographical references. Use $ to separate the references,Bibliographical references. Use $ to separate the references,"Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms",Remarks on text-related metadata (free text),Project responsible for making this text edition available,Licence applicable to the text edition,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.,Identifier(s) of the related digital image(s). Use $ to separate the identifiers.,Link(s) to related images stored on external repository.  Use $ to separate the identifiers.,0
INSPallava00010,,INSPallava00010,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00010,Utayēntiram plates,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00011,,INSPallava00011,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00011,Cendalūr plates,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00012,,INSPallava00012,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00012,Oṃgoḍu grant,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00013,,INSPallava00013,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00013,PIkira grant,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00014,,INSPallava00014,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00014,Māṅgaḍūr plates,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00015,,INSPallava00015,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00015,Viḷavaṭṭi grant,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00016,,INSPallava00016,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00016,Curā grant,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00017,,INSPallava00017,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00017,Paḷḷaṉ Kōvil plates,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00018,,INSPallava00018,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00018,Cejarla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00019,,INSPallava00019,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00019,TaḷavāṉūrCOMMA time of Mahendravarman I,,,,,,,,inaugurative - contruction_religious_building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00020,,INSPallava00020,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00020,Taḷavāṉūr,,,,,,,,inaugurative - contruction_religious_building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00021,,INSPallava00021,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00021,KāñcipuramCOMMA time of Mahendravarman I,,,,,,,,commemorative - eulogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00022,,INSPallava00022,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00022,Kuṭumiyāmalai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00023,,INSPallava00023,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00023,Kuṭumiyāmalai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00024,,INSPallava00024,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00024,MākēntiravaṭiCOMMA time of Mahendravarman I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00025,,INSPallava00025,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00025,Malayakkōvil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00026,,INSPallava00026,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00026,Māmaṇṭūr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00027,,INSPallava00027,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00027,MaṇṭakappaṭṭuCOMMA time of Mahendravarman I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00028,,INSPallava00028,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00028,Pallāvaram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00029,,INSPallava00029,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00029,Cīyamaṅkalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00030,,INSPallava00030,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00030,Tirumayyam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00031,,INSPallava00031,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00031,Tirumayyam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00032,,INSPallava00032,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00032,Trichy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00033,,INSPallava00033,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00033,Trichy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00034,,INSPallava00034,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00034,Trichy biruda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00035,,INSPallava00035,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00035,Trichy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00036,,INSPallava00036,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00036,Vallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00037,,INSPallava00037,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00037,Bādāmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00038,,INSPallava00038,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00038,Kūram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00039,,INSPallava00039,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00039,Mahābalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00040,,INSPallava00040,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00040,Mahābalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00041,,INSPallava00041,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00041,Śivaṉ Vāyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00042,,INSPallava00042,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00042,Tirukkaḻukkuṉṟam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00043,,INSPallava00043,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00043,Mahābalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00044,,INSPallava00044,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00044,Ciṟṟampākkam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00045,,INSPallava00045,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00045,Vunna Guruvapāḷem,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00046,,INSPallava00046,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00046,Kūram,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00047,,INSPallava00047,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00047,Mahābalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00048,,INSPallava00048,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00048,Mahābalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00049,,INSPallava00049,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00049,Mahābalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00050,,INSPallava00050,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00050,Mahābalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00051,,INSPallava00051,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00051,Mahābalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00052,,INSPallava00052,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00052,Pūñcēri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00053,,INSPallava00053,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00053,Reyūru,,,,,,,,donative - religious_land_grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00054,,INSPallava00054,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00054,Kāñcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00055,,INSPallava00055,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00055,Kāñcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00056,,INSPallava00056,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00056,Kāñcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00057,,INSPallava00057,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00057,Kāñcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00058,,INSPallava00058,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00058,Kāñcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00059,,INSPallava00059,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00059,Kāñcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
INSPallava00060,,INSPallava00060,,,emfr,2023-01-24,,,,DHARMA,Pallava,CC0,INSPallava00060,Mahābalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
