0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Text identity,,,,,,Related entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,,Filiation,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date range CE,Date certainty,Date precision,Date evidence,Other instances,Type of filiation,Reissue date,Bibliographic references (primary),Bibliographic references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text edition,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
20,,INSSomavamsin00020,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00020,Mahulpara Plates of Mahāśivagupta II Dharmaratha Year 11,,Khandapara Plates of Mahāśivagupta II Dharmaratha Year 11,,,ARTSomavamsin000034$ARTSomavamsin000035$ARTSomavamsin000036,CONARTSomavamsin000012,,,,,,,,,,,,,,,,,,engraved,63,63,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01$OSM CP65 p.61,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00020_01.JPG$DHARMA_INSSomavamsin00020_02.JPG$DHARMA_INSSomavamsin00020_03.JPG$DHARMA_INSSomavamsin00020_04.JPG$DHARMA_INSSomavamsin00020_05.JPG$DHARMA_INSSomavamsin00020_06.JPG$DHARMA_INSSomavamsin00020_07.JPG$DHARMA_INSSomavamsin00020_08.JPG$DHARMA_INSSomavamsin00020_09.JPG$DHARMA_INSSomavamsin00020_10.JPG$DHARMA_INSSomavamsin00020_11.JPG$DHARMA_INSSomavamsin00020_12.JPG$DHARMA_INSSomavamsin00020_13.JPG$DHARMA_INSSomavamsin00020_14.JPG$DHARMA_INSSomavamsin00020_15.JPG,,20
21,,INSSomavamsin00021,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00021,Nuapatna Plates of the Time of Mahāśivagupta IV Janamejaya Year 5,,"Nuapatna Plates of the Time of Janamejaya, Year 5",,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,Shastri1995_02,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,21
22,,INSSomavamsin00022,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00022,Pāṭṇā Plates of Mahāśivagupta Yayāti Year 8,,Bolangir Museum Plates of Mahāśivagupta Yayāti Year 8,,,ARTSomavamsin000025$ARTSomavamsin000026$ARTSomavamsin000027,CONARTSomavamsin000009,,,,,,,,,,,,,,,,,,engraved,50+1(seal),52,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01 ,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00022_01.JPG$DHARMA_INSSomavamsin00022_02.JPG$DHARMA_INSSomavamsin00022_03.JPG$DHARMA_INSSomavamsin00022_04.JPG$DHARMA_INSSomavamsin00022_05.JPG$DHARMA_INSSomavamsin00022_06.JPG$DHARMA_INSSomavamsin00022_07.JPG$DHARMA_INSSomavamsin00022_08.JPG$DHARMA_INSSomavamsin00022_09.JPG$DHARMA_INSSomavamsin00022_10.JPG$DHARMA_INSSomavamsin00022_11.JPG$DHARMA_INSSomavamsin00022_12.JPG$DHARMA_INSSomavamsin00022_13.JPG$DHARMA_INSSomavamsin00022_14.JPG$DHARMA_INSSomavamsin00022_15.JPG$DHARMA_INSSomavamsin00022_16.JPG$DHARMA_INSSomavamsin00022_17.JPG$DHARMA_INSSomavamsin00022_18.JPG$DHARMA_INSSomavamsin00022_19.JPG$DHARMA_INSSomavamsin00022_20.JPG$DHARMA_INSSomavamsin00022_21.JPG$DHARMA_INSSomavamsin00022_22.JPG$DHARMA_INSSomavamsin00022_23.JPG,,22
23,,INSSomavamsin00023,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00023,Cuttack Plates of Mahāśivagupta Yayāti Year 9,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01 ,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,23
24,,INSSomavamsin00024,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00024,Nibinna Plates of Mahāśivagupta Yayāti Year 15,,Sonepur Plates of Mahāśivagupta Yayāti Year 15,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01 ,Tripathy2010_01$Acharya2014_01$,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A68_1955-56_01$DHARMA_SURARIE_A68_1955-56_02$DHARMA_SURARIE_A68_1955-56_03$DHARMA_SURARIE_A68_1955-56_04,DHARMA_SURARIE_A68_1955-56_01.tif$DHARMA_SURARIE_A68_1955-56_02.tif$DHARMA_SURARIE_A68_1955-56_03.tif$DHARMA_SURARIE_A68_1955-56_04.tif,,24
25,,INSSomavamsin00025,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00025,Pāṭṇā Plates of Mahāśivagupta Yayāti Year 24,,,,,ARTSomavamsin000019$ARTSomavamsin000020$ARTSomavamsin000021,CONARTSomavamsin000007,,,,,,,,,,,,,,,,,,engraved,64,64,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01 ,Tripathy2010_01$Acharya2014_01$,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A04-1_1966-67_01$DHARMA_SURARIE_A04-1_1966-67_02$DHARMA_SURARIE_A04-1_1966-67_03$DHARMA_SURARIE_A04-1_1966-67_04$DHARMA_SURARIE_A04-2_1966-67_01$DHARMA_SURARIE_A04-2_1966-67_02$DHARMA_SURARIE_A04-2_1966-67_03$DHARMA_SURARIE_A04-2_1966-67_04$DHARMA_SURARIE_A04-2_1966-67_05$DHARMA_SURARIE_A04-2_1966-67_06$DHARMA_SURARIE_A20_1952-53_01$DHARMA_SURARIE_A20_1952-53_02$DHARMA_SURARIE_A20_1952-53_03$DHARMA_SURARIE_A20_1952-53_04$DHARMA_SURARIE_A20_1952-53_05,DHARMA_INSSomavamsin00025_01.JPG$DHARMA_INSSomavamsin00025_02.JPG$DHARMA_INSSomavamsin00025_03.JPG$DHARMA_INSSomavamsin00025_04.JPG$DHARMA_INSSomavamsin00025_05.JPG$DHARMA_INSSomavamsin00025_06.JPG$DHARMA_INSSomavamsin00025_07.JPG$DHARMA_INSSomavamsin00025_08.JPG$DHARMA_INSSomavamsin00025_09.JPG$DHARMA_INSSomavamsin00025_10.JPG$DHARMA_INSSomavamsin00025_11.JPG$DHARMA_INSSomavamsin00025_12.JPG$DHARMA_INSSomavamsin00025_13.JPG$DHARMA_INSSomavamsin00025_14.JPG$DHARMA_SURARIE_A04-1_1966-67_01.tif$DHARMA_SURARIE_A04-1_1966-67_02.tif$DHARMA_SURARIE_A04-1_1966-67_03.tif$DHARMA_SURARIE_A04-1_1966-67_04.tif$DHARMA_SURARIE_A04-2_1966-67_01.jpg$DHARMA_SURARIE_A04-2_1966-67_02.jpg$DHARMA_SURARIE_A04-2_1966-67_03.jpg$DHARMA_SURARIE_A04-2_1966-67_04.jpg$DHARMA_SURARIE_A04-2_1966-67_05.jpg$DHARMA_SURARIE_A04-2_1966-67_06.jpgDHARMA_SURARIE_A20_1952-53_01.tif$DHARMA_SURARIE_A20_1952-53_02.tif$DHARMA_SURARIE_A20_1952-53_03.tif$DHARMA_SURARIE_A20_1952-53_04.tif$DHARMA_SURARIE_A20_1952-53_05.tif,,25
26,,INSSomavamsin00026,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00026,Kudopali Plates of the Time of Mahābhavagupta II Bhīmaratha Year 13,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01 ,Tripathy2010_01$Acharya2014_01$,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A23_1964-65_01$DHARMA_SURARIE_A23_1964-65_02$DHARMA_SURARIE_A23_1964-65_03$DHARMA_SURARIE_A23_1964-65_04$DHARMA_SURARIE_A23_1964-65_05$DHARMA_SURARIE_A23_1964-65_06$DHARMA_SURARIE_A23_1964-65_07,DHARMA_SURARIE_A23_1964-65_01.tif$DHARMA_SURARIE_A23_1964-65_02.tif$DHARMA_SURARIE_A23_1964-65_03.tif$DHARMA_SURARIE_A23_1964-65_04.tif$DHARMA_SURARIE_A23_1964-65_05.tif$DHARMA_SURARIE_A23_1964-65_06.tif$DHARMA_SURARIE_A23_1964-65_07.tif,,26
27,,INSSomavamsin00027,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00027,Lalāṭendukesari's Cave Inscription of Mahābhavagupta IV Uddyotakeśarin Year 5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01,,,DHARMA,CC-BY-SA,,,,27
28,,INSSomavamsin00028,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00028,Mahakosala Historical Society's Plates of Mahābhavagupta IV Uddyotakeśarin Year 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A05_1954-55_01$DHARMA_SURARIE_A05_1954-55_02$DHARMA_SURARIE_A05_1954-55_03$DHARMA_SURARIE_A05_1954-55_04$DHARMA_SURARIE_A05_1954-55_05$DHARMA_SURARIE_A05_1954-55_06$DHARMA_SURARIE_A14_1953-54_01$DHARMA_SURARIE_A14_1953-54_02$DHARMA_SURARIE_A14_1953-54_03$DHARMA_SURARIE_A14_1953-54_04$DHARMA_SURARIE_A14_1953-54_05$DHARMA_SURARIE_A14_1953-54_06,DHARMA_SURARIE_A05_1954-55_01.tif$DHARMA_SURARIE_A05_1954-55_02.tif$DHARMA_SURARIE_A05_1954-55_03.tif$DHARMA_SURARIE_A05_1954-55_04.tif$DHARMA_SURARIE_A05_1954-55_05.tif$DHARMA_SURARIE_A05_1954-55_06.tif$DHARMA_SURARIE_A14_1953-54_01.tif$DHARMA_SURARIE_A14_1953-54_02.tif$DHARMA_SURARIE_A14_1953-54_03.tif$DHARMA_SURARIE_A14_1953-54_04.tif$DHARMA_SURARIE_A14_1953-54_05.tif$DHARMA_SURARIE_A14_1953-54_06.tif,,28
29,,INSSomavamsin00029,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00029,Navamuni Cave Inscription of Mahābhavagupta Uddyotakeśarin Year 18,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01,,,DHARMA,CC-BY-SA,,,,29
30,,INSSomavamsin00030,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00030,Brahmeśvara Temple Inscription of Mahābhavagupta IV Uddyotakeśarin,,,,,,,,,,,,Sanskrit,,,,,,,,,,,,,,20,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01,,,DHARMA,CC-BY-SA,,,,30
31,,INSSomavamsin00031,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00031,Ratnagiri Plates of Mahāśivagupta V Karṇa Year 6,,,,,ARTSomavamsin000028$ARTSomavamsin000029$ARTSomavamsin000030,CONARTSomavamsin000010,,,,,,Sanskrit,,,,,,,,,,,,engraved,18(plate1),68,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01$Debala1961-1962_01$Sircar1961-1962_04,Tripathy2010_01$Acharya2014_01$ARIE1957-1958$Gai1986_01,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A35_1957-58_01$DHARMA_SURARIE_A35_1957-58_02,DHARMA_INSSomavamsin00031_01.JPG$DHARMA_INSSomavamsin00031_02.JPG$DHARMA_INSSomavamsin00031_03.JPG$DHARMA_SURARIE_A35_1957-58_01.tif$DHARMA_SURARIE_A35_1957-58_02.tif,,31
32,,INSSomavamsin00032,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00032,Kelga Plates of Someśvaradeva Year 1,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A06-1_1950-51_01$DHARMA_SURARIE_A06-1_1950-51_02$DHARMA_SURARIE_A06-1_1950-51_03$DHARMA_SURARIE_A06-1_1950-51_04$DHARMA_SURARIE_A06-1_1950-51_05$DHARMA_SURARIE_A06-1_1950-51_06$DHARMA_SURARIE_A06-2_1950-51_01$DHARMA_SURARIE_A06-2_1950-51_02$DHARMA_SURARIE_A06-2_1950-51_03$DHARMA_SURARIE_A06-2_1950-51_04$DHARMA_SURARIE_A06-2_1950-51_05$DHARMA_SURARIE_A06-2_1950-51_06$DHARMA_SURARIE_A16_1955-56_01$DHARMA_SURARIE_A16_1955-56_02$DHARMA_SURARIE_A16_1955-56_03$DHARMA_SURARIE_A16_1955-56_04$DHARMA_SURARIE_A16_1955-56_05$DHARMA_SURARIE_A16_1955-56_06,DHARMA_SURARIE_A06-1_1950-51_01.tif$DHARMA_SURARIE_A06-1_1950-51_02.tif$DHARMA_SURARIE_A06-1_1950-51_03.tif$DHARMA_SURARIE_A06-1_1950-51_04.tif$DHARMA_SURARIE_A06-1_1950-51_05.tif$DHARMA_SURARIE_A06-1_1950-51_06.tif$DHARMA_SURARIE_A06-2_1950-51_01.jpg$DHARMA_SURARIE_A06-2_1950-51_02.jpg$DHARMA_SURARIE_A06-2_1950-51_03.jpg$DHARMA_SURARIE_A06-2_1950-51_04.jpg$DHARMA_SURARIE_A06-2_1950-51_05.jpg$DHARMA_SURARIE_A06-2_1950-51_06.jpg$DHARMA_SURARIE_A16_1955-56_01.tif$DHARMA_SURARIE_A16_1955-56_02.tif$DHARMA_SURARIE_A16_1955-56_03.tif$DHARMA_SURARIE_A16_1955-56_04.tif$DHARMA_SURARIE_A16_1955-56_05.tif$DHARMA_SURARIE_A16_1955-56_06.tif,,32
33,,INSSomavamsin00033,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00033,A Stray Plate of Uddyotakeśarin from Mahada,,,,,ARTSomavamsin000037,,,,,,,,,,,,,,,,,,,engraved,14,,,,,,,,,,,,,,Shastri1995_02,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00033_01.JPG$DHARMA_INSSomavamsin00033_02.JPG$DHARMA_INSSomavamsin00033_03.JPG$DHARMA_INSSomavamsin00033_04.JPG$DHARMA_INSSomavamsin00033_05.JPG$DHARMA_INSSomavamsin00033_06.JPG$DHARMA_INSSomavamsin00033_07.JPG$DHARMA_INSSomavamsin00033_08.JPG$DHARMA_INSSomavamsin00033_09.JPG$DHARMA_INSSomavamsin00033_10.JPG$DHARMA_INSSomavamsin00033_11.JPG,,33
34,,INSSomavamsin00034,,,amwb,2022-03-21,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00034,Gandhibedha Sūrya Image Inscription of Mahāśivagupta V Karṇa,,,,,,,,,,,,,,,,,,,,,,,,engraved,2,10,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01,,,DHARMA,CC-BY-SA,,,,34
35,,INSSomavamsin00035,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00035,A Stray Plate of a Somavaṁśin or Telugu-Coḍa Grant from Kelga,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A07-1_1950-51_01$DHARMA_SURARIE_A07-1_1950-51_02$DHARMA_SURARIE_A07-1_1950-51_03$DHARMA_SURARIE_A07-2_1950-51_01$DHARMA_SURARIE_A07-2_1950-51_02$DHARMA_SURARIE_A07-2_1950-51_03$DHARMA_SURARIE_A07-2_1950-51_04$DHARMA_SURARIE_A07-2_1950-51_05,DHARMA_SURARIE_A07-1_1950-51_01.tif$DHARMA_SURARIE_A07-1_1950-51_02.tif$DHARMA_SURARIE_A07-1_1950-51_03.tif$DHARMA_SURARIE_A07-2_1950-51_01.jpg$DHARMA_SURARIE_A07-2_1950-51_02.jpg$DHARMA_SURARIE_A07-2_1950-51_03.jpg$DHARMA_SURARIE_A07-2_1950-51_04.jpg$DHARMA_SURARIE_A07-2_1950-51_05.jpg,,35
36,,INSSomavamsin00036,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00036,Sambalpur University Museum Plates of the Time of Mahābhavagupta I Janamejaya Year 23,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,Shastri1995_02,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,36
37,,INSSomavamsin00037,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00037,Degaon Plates of the Time of Mahābhavagupta I Janamejaya,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,Shastri1995_02,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,37
38,,INSSomavamsin00038,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00038,Sankhameri Plates of Mahābhavagupta IV Uddyotakeśarin Year 4,,,,,ARTSomavamsin00042$ARTSomavamsin00043$ARTSomavamsin00044,CONARTSomavamsin000014,,,,,,,,,,,,,,,,,,engraved,75,75,,,,,,,,,,,,,Shastri1995_02,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00038_01.JPG$DHARMA_INSSomavamsin00038_02.JPG$DHARMA_INSSomavamsin00038_03.JPG$DHARMA_INSSomavamsin00038_04.JPG$DHARMA_INSSomavamsin00038_05.JPG$DHARMA_INSSomavamsin00038_06.JPG$DHARMA_INSSomavamsin00038_07.JPG$DHARMA_INSSomavamsin00038_08.JPG$DHARMA_INSSomavamsin00038_09.JPG$DHARMA_INSSomavamsin00038_10.JPG$DHARMA_INSSomavamsin00038_11.JPG$DHARMA_INSSomavamsin00038_12.JPG$DHARMA_INSSomavamsin00038_13.JPG$DHARMA_INSSomavamsin00038_14.JPG$DHARMA_INSSomavamsin00038_15.JPG$DHARMA_INSSomavamsin00038_16.JPG,,38
39,,INSSomavamsin00039,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00039,Ruchida Plates of Mahābhavagupta Year 8,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,Acharya2013_02,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,39
40,,INSSomavamsin00040,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00040,Baragaon Plates of the Time of Janamejaya I RY 13,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,Acharya2014_01,,,DHARMA,CC-BY-SA,,,,40
41,,INSSomavamsin00041,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00041,Ranipur-Jharial Plates of Mahābhavagupta Janamejaya I RY 16,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,41
42,,INSSomavamsin00042,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00042,Chaudwār Plates #2 of Mahābhavagupta I Janamejaya Year 31,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,Rajaguru1966_01,Tripathy2010_01,,,DHARMA,CC-BY-SA,,,,42
43,,INSSomavamsin00043,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00043,Chaudwār Plates #3 of Mahābhavagupta I Janamejaya Year 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,43
44,,INSSomavamsin00044,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00044,A Stray Plate of Mahābhavagupta Janamejaya I RY 3,,,,,ARTSomavamsin000038,,,,,,,,,,,,,,,,,,,engraved,5(+top of the sixth line),5,,,,,,,,,,,,,,Tripathy2010_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00044_01.JPG$DHARMA_INSSomavamsin00044_02.JPG$DHARMA_INSSomavamsin00044_03.JPG$DHARMA_INSSomavamsin00044_04.JPG$DHARMA_INSSomavamsin00044_05.JPG,,44
45,,INSSomavamsin00045,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00045,A Stray Plate of Mahābhavagupta Janamejaya I,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,45
46,,INSSomavamsin00046,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00046,Khandahata Plates of the Time of Yayāti II RY 3,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,Acharya2014_01,,,DHARMA,CC-BY-SA,,,,46
47,,INSSomavamsin00047,,,amwb,2022-03-22,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00047,Kāṇḍavindhā Plates of Mahābhavagupta Uddyotakeśarī Year 3,,,,,ARTSomavamsin000039$ARTSomavamsin000040$ARTSomavamsin000041,CONARTSomavamsin000013,,,,,,,,,,,,,,,,,,engraved,74?,75,,,,,,,,,,,,,Sharma+Handa2005_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00047_01.JPG$DHARMA_INSSomavamsin00047_02.JPG$DHARMA_INSSomavamsin00047_03.JPG$DHARMA_INSSomavamsin00047_04.JPG$DHARMA_INSSomavamsin00047_05.JPG$DHARMA_INSSomavamsin00047_06.JPG$DHARMA_INSSomavamsin00047_07.JPG$DHARMA_INSSomavamsin00047_08.JPG$DHARMA_INSSomavamsin00047_09.JPG$DHARMA_INSSomavamsin00047_10.JPG$DHARMA_INSSomavamsin00047_11.JPG$DHARMA_INSSomavamsin00047_12.JPG$DHARMA_INSSomavamsin00047_13.JPG$DHARMA_INSSomavamsin00047_14.JPG$DHARMA_INSSomavamsin00047_15.JPG$DHARMA_INSSomavamsin00047_16.JPG$DHARMA_INSSomavamsin00047_17.JPG$DHARMA_INSSomavamsin00047_18.JPG$DHARMA_INSSomavamsin00047_19.JPG,,47
48,,INSSomavamsin00048,,,amwb,2023-01-09,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00048,Navamuni Cave Inscription of Mahābhavagupta Uddyotakesarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rajaguru1966_01$Shastri1995_02,Tripathy2010_01(number24),,,DHARMA,CC-BY-SA,,,,48
49,,INSSomavamsin00049,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,49
50,,INSSomavamsin00050,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,50
51,,INSSomavamsin00051,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,51
52,,INSSomavamsin00052,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,52
53,,INSSomavamsin00053,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,53
54,,INSSomavamsin00054,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,54
55,,INSSomavamsin00055,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,55
56,,INSSomavamsin00056,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,56
57,,INSSomavamsin00057,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,57
58,,INSSomavamsin00058,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,58
59,,INSSomavamsin00059,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,59
60,,INSSomavamsin00060,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,60
61,,INSSomavamsin00061,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,61
62,,INSSomavamsin00062,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,62
63,,INSSomavamsin00063,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,63
64,,INSSomavamsin00064,,,,,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,64
