0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Text identity,,,,,,Related entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,,Filiation,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date range CE,Date certainty,Date precision,Date evidence,Other instances,Type of filiation,Reissue date,Bibliographic references (primary),Bibliographic references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text edition,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
10,,INSSomavamsin00010,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00010,"Gaintala Plates of Mahābhavagupta Janamejaya, Year 17",,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,10
11,,INSSomavamsin00011,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00011,Chaudwār Plates #1 of Mahābhavagupta Janamejaya Year 31,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01 ,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,11
12,,INSSomavamsin00012,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00012,Kālibhanā Plates of Mahābhavagupta Janamejaya Year 34,,,,,ARTSomavamsin000010$ARTSomavamsin000011$ARTSomavamsin000012,CONARTSomavamsin000004,,,,,,,,,,,,,,,,,,engraved,52,52,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00012_01.JPG$DHARMA_INSSomavamsin00012_02.JPG$DHARMA_INSSomavamsin00012_03.JPG$DHARMA_INSSomavamsin00012_04.JPG$DHARMA_INSSomavamsin00012_05.JPG$DHARMA_INSSomavamsin00012_06.JPG$DHARMA_INSSomavamsin00012_07.JPG$DHARMA_INSSomavamsin00012_08.JPG$DHARMA_INSSomavamsin00012_09.JPG$DHARMA_INSSomavamsin00012_10.JPG$DHARMA_INSSomavamsin00012_11.JPG,,12
13,,INSSomavamsin00013,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00013,Banpur Plates of Indraratha Year 6,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,Shastri1995_02,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,13
14,,INSSomavamsin00014,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00014,Kamalpur Plates of the Time of Mahāsivagupta V Karṇa Year 4,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,Shastri1995_02,Acharya2014_01$Tripathy2010_01,,,DHARMA,CC-BY-SA,,,,14
15,,INSSomavamsin00015,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00015,Bālijhari Plates of Mahābhavagupta IV Uddyotakeśarin Year 4,,Narasinghpur Plates of Mahābhavagupta IV Uddyotakeśarin Year 4,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,15
16,,INSSomavamsin00016,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00016,Jatesinga-Dungri Plates of Mahāśivagupta III Yayāti Year 3,,Mārañja-Mura Plates of Mahāśivagupta III Yayāti Year 3,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,DHARMA_SURARIE_A04-1_1964-65_01$DHARMA_SURARIE_A04-1_1964-65_02$DHARMA_SURARIE_A04-1_1964-65_03$DHARMA_SURARIE_A04-1_1964-65_04$DHARMA_SURARIE_A04-1_1964-65_05$DHARMA_SURARIE_A04-1_1964-65_06$DHARMA_SURARIE_A04-1_1964-65_07$DHARMA_SURARIE_A04-1_1964-65_08$DHARMA_SURARIE_A04-1_1964-65_09$DHARMA_SURARIE_A04-2_1964-65_01$DHARMA_SURARIE_A04-2_1964-65_02$DHARMA_SURARIE_A04-2_1964-65_03$DHARMA_SURARIE_A04-2_1964-65_04$DHARMA_SURARIE_A04-2_1964-65_05$DHARMA_SURARIE_A04-2_1964-65_06,DHARMA_SURARIE_A04-1_1964-65_01.jpg$DHARMA_SURARIE_A04-1_1964-65_02.jpg$DHARMA_SURARIE_A04-1_1964-65_03.jpg$DHARMA_SURARIE_A04-1_1964-65_04.jpg$DHARMA_SURARIE_A04-1_1964-65_05.jpg$DHARMA_SURARIE_A04-1_1964-65_06.jpg$DHARMA_SURARIE_A04-1_1964-65_07.jpg$DHARMA_SURARIE_A04-1_1964-65_08.jpg$DHARMA_SURARIE_A04-1_1964-65_09.jpg$DHARMA_SURARIE_A04-2_1964-65_01.tif$DHARMA_SURARIE_A04-2_1964-65_02.tif$DHARMA_SURARIE_A04-2_1964-65_03.tif$DHARMA_SURARIE_A04-2_1964-65_04.tif$DHARMA_SURARIE_A04-2_1964-65_05.tif$DHARMA_SURARIE_A04-2_1964-65_06.tif,,16
17,,INSSomavamsin00017,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00017,Orissa State Museum Plates of Mahāśivagupta I Yayāti Year 4,,,,,ARTSomavamsin000031$ARTSomavamsin000032$ARTSomavamsin000033,CONARTSomavamsin000011,,,,,,,,,,,,,,,,,,engraved,55+2(seal),55,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00017_01.JPG$DHARMA_INSSomavamsin00017_02.JPG$DHARMA_INSSomavamsin00017_03.JPG$DHARMA_INSSomavamsin00017_04.JPG$DHARMA_INSSomavamsin00017_05.JPG$DHARMA_INSSomavamsin00017_06.JPG$DHARMA_INSSomavamsin00017_07.JPG$DHARMA_INSSomavamsin00017_08.JPG$DHARMA_INSSomavamsin00017_09.JPG$DHARMA_INSSomavamsin00017_10.JPG$DHARMA_INSSomavamsin00017_11.JPG$DHARMA_INSSomavamsin00017_12.JPG$DHARMA_INSSomavamsin00017_13.JPG,,17
18,,INSSomavamsin00018,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00018,Pāṭṇā Plates of Mahāśivagupta Yayāti Year 28,,,,,ARTSomavamsin000022$ARTSomavamsin000023$ARTSomavamsin000024,CONARTSomavamsin000008,,,,,,,,,,,,,,,,,,engraved,75,75,,,,,,,,,,,,,Shastri1995_02$ Rajaguru1966_01$OSM-CP44-p42,Tripathy2010_01$Acharya2014_01$,,,DHARMA,CC-BY-SA,,DHARMA_INSSomavamsin00018_01.JPG$DHARMA_INSSomavamsin00018_02.JPG$DHARMA_INSSomavamsin00018_03.JPG$DHARMA_INSSomavamsin00018_04.JPG$DHARMA_INSSomavamsin00018_05.JPG$DHARMA_INSSomavamsin00018_06.JPG$DHARMA_INSSomavamsin00018_07.JPG$DHARMA_INSSomavamsin00018_08.JPG$DHARMA_INSSomavamsin00018_09.JPG$DHARMA_INSSomavamsin00018_10.JPG$DHARMA_INSSomavamsin00018_11.JPG$DHARMA_INSSomavamsin00018_12.JPG$DHARMA_INSSomavamsin00018_13.JPG,,18
19,,INSSomavamsin00019,,,amwb,2022-03-07,,,,DHARMA,Somavamsin,CC0,INSSomavamsin00019,Cuttack Plates of Mahābhavagupta II Bhīmaratha Year 3,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,Shastri1995_02$Rajaguru1966_01,Tripathy2010_01$Acharya2014_01,,,DHARMA,CC-BY-SA,,,,19
