0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;0
0;;;;;;;;;;;;;;;;;;;;;;;;Text type;;;;;Language(s) and script(s);;;;;;;;;;;;Lettering format;;;;;;;;;;Filiation;;;;;;Rights;;;;0
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Alternative designation;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Lines;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Height of text;Width of text;Lines;Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references;Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;0
;;INSPandya00010;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00010;;;;;;;;;;;;;;;Tamil;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00011;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00011;;;;;;;;;;;;;;;Tamil;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00012;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00013;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00014;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00015;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00016;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00017;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00018;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00019;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00020;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00021;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00022;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00023;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00024;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00025;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00026;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00027;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00028;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00029;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00030;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00031;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00032;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00033;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00034;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00035;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00036;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00037;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00038;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00039;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00040;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00041;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00042;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00043;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00044;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00045;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
