0,Fields,Identifier of the resource,Origin of the metadata,Editor of the metadata,Date of the edition,Contributor of the metadata,Date of contribution,Type of contribution,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact/conglomerate artefact/monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date interval CE,Date precision,Date evidence,Duplicate ID,Reissue ID,Reissue date,Bibliographical references (primary),Bibliographical references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text,Identifier of the surrogate,Identifier of the digital image,0
0,Description of the fields,Digital identifier of the inscription as text. Syntax: INS<corpus>00001,Origin of the metadata: database or publication,"Person(s) who supplied/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata input/editing (YYYY-MM-DD),"Person(s) who modified metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata modification (YYYY-MM-DD). Use $ to separate the dates,"Type of metadata modification. Use $ to separate the types of contribution, if more than one.","Validation of metadata and validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata review (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the text. 
Syntax: INS<corpus>00001",Designation of the text [= title in xml edition],Alternative identifier(s),Alternative designation(s),Alternative designation(s),Location on the artefact/conglomerate artefact/monument (free text),ID of the artefact/conglomerate artefact/monument bearing the text,"Text type (ideally only 1, choose misc. if you need to record more than 1)",Text type 2 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 3 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 4 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),"Writing technique (engraved, relief, painted, etc.)",Number of lines of this text preserved/observed on the artefact,Known or estimated total number of lines in this text,Number of lines observed per zone (format A:10§B:12),"Height x Width of the inscribed zone or zones (cm) – if multiple zones, use $ as separator and letter prefix plus colon before h and w values ",Height of an average aksara (cm),Width of an average aksara (cm),YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,precision of the text's dating,evidence that indicates the date of the text,ID of the corresponding text,ID of the corresponding text,CE date of reissue (YYYY or YYYY-YYYY),Bibliographical references. Use $ to separate the references,Bibliographical references. Use $ to separate the references,"Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms",Remarks on text-related metadata (free text),Project responsible for making this text edition available,Licence applicable to the text edition,Identifier(s) of the related surrogate(s),Identifier(s) of the related digital image(s),0
10,,INSCIK00004,,,,,,,,,DHARMA,CIK,CC0,INSCIK00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,10
11,,INSCIK00005,,,,,,,,,DHARMA,CIK,CC0,INSCIK00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,11
12,,INSCIK00006,,,,,,,,,DHARMA,CIK,CC0,INSCIK00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,12
13,,INSCIK00007,,,,,,,,,DHARMA,CIK,CC0,INSCIK00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,13
14,,INSCIK00008,,,,,,,,,DHARMA,CIK,CC0,INSCIK00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,14
15,,INSCIK00009,,,,,,,,,DHARMA,CIK,CC0,INSCIK00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,15
16,,INSCIK00010,,,,,,,,,DHARMA,CIK,CC0,INSCIK00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,16
17,,INSCIK00011,,,,,,,,,DHARMA,CIK,CC0,INSCIK00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,17
18,,INSCIK00012,,,,,,,,,DHARMA,CIK,CC0,INSCIK00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,18
19,,INSCIK00013,,,,,,,,,DHARMA,CIK,CC0,INSCIK00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,19
20,,INSCIK00014,,,,,,,,,DHARMA,CIK,CC0,INSCIK00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,20
21,,INSCIK00015,,,,,,,,,DHARMA,CIK,CC0,INSCIK00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,21
22,,INSCIK00016,,,,,,,,,DHARMA,CIK,CC0,INSCIK00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,22
23,,INSCIK00017,,,,,,,,,DHARMA,CIK,CC0,INSCIK00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,23
24,,INSCIK00018,,,,,,,,,DHARMA,CIK,CC0,INSCIK00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,24
25,,INSCIK00019,,,,,,,,,DHARMA,CIK,CC0,INSCIK00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,25
26,,INSCIK00020,,,,,,,,,DHARMA,CIK,CC0,INSCIK00020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,26
27,,INSCIK00021,,,,,,,,,DHARMA,CIK,CC0,INSCIK00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,27
28,,INSCIK00022,,,,,,,,,DHARMA,CIK,CC0,INSCIK00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,28
29,,INSCIK00023,,,,,,,,,DHARMA,CIK,CC0,INSCIK00023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,29
30,,INSCIK00024,,,,,,,,,DHARMA,CIK,CC0,INSCIK00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,30
31,,INSCIK00025,,,,,,,,,DHARMA,CIK,CC0,INSCIK00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,31
32,,INSCIK00026,,,,,,,,,DHARMA,CIK,CC0,INSCIK00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,32
33,,INSCIK00027,,,,,,,,,DHARMA,CIK,CC0,INSCIK00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,33
34,,INSCIK00028,,,,,,,,,DHARMA,CIK,CC0,INSCIK00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,34
35,,INSCIK00029,,,,,,,,,DHARMA,CIK,CC0,INSCIK00029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,35
36,,INSCIK00030,,,,,,,,,DHARMA,CIK,CC0,INSCIK00030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,36
