0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Text identity,,,,,,Related  entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,,Filiation,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date range CE,Date certainty,Date precision,Date evidence,Other instances,Type of filiation,Reissue date,Bibliographic references (primary),Bibliographic references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text edition,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
10,,INSDaksinaKosala00010,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00010,"Sirpur Plates of Sudevarāja, Year 7",,,,,,CONARTDaksinaKosala00009,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,27,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,10
11,,INSDaksinaKosala00011,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00011,"Āraṅg Plates of Sudevarāja, Year 7",,,,,,CONARTDaksinaKosala00010,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,28,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,11
12,,INSDaksinaKosala00012,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00012,"Kauvatal Plates of Sudevarāja, Year 7",,,,,,CONARTDaksinaKosala00011,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,27,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,12
13,,INSDaksinaKosala00013,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00013,"Raipur Plates of Sudevarāja, Year 10",,,,,,CONARTDaksinaKosala00012,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,30,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,13
14,,INSDaksinaKosala00014,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00014,Sāraṅgarh Plates of Sudevarāja (incomplete),,,,,,CONARTDaksinaKosala00013,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,18,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,14
15,,INSDaksinaKosala00015,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00015,"Ṭhākurdiyā Plates of Pravararāja, Year 3",,,,,,CONARTDaksinaKosala00014,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,25,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,15
16,,INSDaksinaKosala00016,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00016,"Malhār Plates of Pravararāja, Year 3",,,,,,CONARTDaksinaKosala00015,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,25,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,16
17,,INSDaksinaKosala00017,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00017,"Stray Pokhra Plate of the Kings of Śarabhapura, undated",,,,,ARTDaksinaKosala000002,,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,12,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,17
18,,INSDaksinaKosala00018,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00018,"Malgā Plates of Indrabala, Year 11",,,,,,CONARTDaksinaKosala00016,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,31,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,18
19,,INSDaksinaKosala00019,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00019,"Bamhanī Plates of Śūrabala, Year 2",,,,,,CONARTDaksinaKosala00017,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,49,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,19
20,,INSDaksinaKosala00020,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00020,"Malhār Plates of Śūrabala, Year 8",,,,,,CONARTDaksinaKosala00018,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,53,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,20
21,,INSDaksinaKosala00021,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00021,"Stray Būrhīkhār Plate of Śūrabala, undated",,,,,ARTDaksinaKosala000003,,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,11,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,21
22,,INSDaksinaKosala00022,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00022,"Bonda Plates of Tīvararāja, Year 5",,,,,,CONARTDaksinaKosala00019,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,43,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,22
23,,INSDaksinaKosala00023,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00023,"Rājim Plates of Tīvararāja, Year 7",,,,,,CONARTDaksinaKosala00020,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,38,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,DHARMA_ conART00002_1.set$DHARMA_ conART00002_7.seal-side,,23
24,,INSDaksinaKosala00024,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00024,"Sirpur Plates of Tīvararāja, Year 7",,,,,,CONARTDaksinaKosala00021,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,41,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,DHARMA_ ART000001_1.1v,,24
25,,INSDaksinaKosala00025,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00025,"Baloda Plates of Tīvararāja, Year 9",,,,,,CONARTDaksinaKosala00022,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,42,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,25
26,,INSDaksinaKosala00026,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00026,"Aḍbhār Plates of Nannarāja II, undated",,,,,,CONARTDaksinaKosala00023,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,26,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,26
27,,INSDaksinaKosala00027,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00027,"Sirpur Plates of Śivagupta, Year 6",,,,,,CONARTDaksinaKosala00024,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,29,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,DHARMA_ conART00005_1.set$DHARMA_ conART00005_7.seal,,27
28,,INSDaksinaKosala00028,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00028,"Malhār Plates of Śivagupta, undated (presumably year 6)",,,,,,CONARTDaksinaKosala00025,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,30,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,28
29,,INSDaksinaKosala00029,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00029,"Bārdūlā Plates of Śivagupta, Year 9",,,,,,CONARTDaksinaKosala00026,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,32,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,DHARMA_ conART00007_1.1v$DHARMA_ conART00007_4.3r,,29
30,,INSDaksinaKosala00030,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00030,"Sirpur Plates of Śivagupta, Year 11",,,,,,CONARTDaksinaKosala00027,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,30,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,30
31,,INSDaksinaKosala00031,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00031,"Sirpur Plates of Śivagupta, Year 19",,,,,,CONARTDaksinaKosala00028,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,30,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,31
32,,INSDaksinaKosala00032,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00032,"Boṇḍā Plates of Śivagupta, Year 22",,,,,,CONARTDaksinaKosala00029,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,31,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,DHARMA_ conART00010_1.set$DHARMA_ conART00010_7.seal,,32
33,,INSDaksinaKosala00033,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00033,"Sirpur Plates of Śivagupta, Year 37",,,,,,CONARTDaksinaKosala00030,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,30,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,33
34,,INSDaksinaKosala00034,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00034,"Sirpur Plates of Śivagupta, Year 38",,,,,,CONARTDaksinaKosala00031,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,34,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,34
35,,INSDaksinaKosala00035,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00035,"Sirpur Plates of Śivagupta, Year 46",,,,,,CONARTDaksinaKosala00032,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,34,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,35
36,,INSDaksinaKosala00036,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00036,"Sirpur Plates of Śivagupta, Year 48",,,,,,CONARTDaksinaKosala00033,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,34,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,36
37,,INSDaksinaKosala00037,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00037,"Sirpur Plates of Śivagupta, undated (presumably year 48 or later)",,,,,,CONARTDaksinaKosala00034,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,30,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,DHARMA_ conART00015_1.1v$DHARMA_ conART00015_5.seal,,37
38,,INSDaksinaKosala00038,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00038,"Sirpur Plates of Śivagupta, Year 52",,,,,,CONARTDaksinaKosala00035,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,35,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,38
39,,INSDaksinaKosala00039,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00039,"Sirpur Plates of Śivagupta, Year 55",,,,,,CONARTDaksinaKosala00036,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,34,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,39
40,,INSDaksinaKosala00040,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00040,"Sirpur Plates of Śivagupta, undated (presumably year 55 or later)",,,,,,CONARTDaksinaKosala00037,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,32,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,40
41,,INSDaksinaKosala00041,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00041,"Lodhiā Plates of Śivagupta, Year 57",,,,,,CONARTDaksinaKosala00038,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,34,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,41
42,,INSDaksinaKosala00042,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00042,"Junvānī Plates of Śivagupta, Year 57",,,,,,CONARTDaksinaKosala00039,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,43,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,DHARMA_ ART000003_1.2r,,42
43,,INSDaksinaKosala00043,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00043,"Stray Būrhīkhār Plate of Śivagupta, Year 57",,,,,ARTDaksinaKosala000008,,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,8,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,43
44,,INSDaksinaKosala00044,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00044,"Stray Malhār Plate of Śivagupta, undated",,,,,ARTDaksinaKosala000009,,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,8,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,DHARMA_ conART00020_1.seal,,44
45,,INSDaksinaKosala00045,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00045,"Malhār Plates of Śivagupta, undated",,,,,,CONARTDaksinaKosala00040,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,30,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,45
46,,INSDaksinaKosala00046,,2022-01-17,nabo,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00046,"Sirpur Plates of Śivagupta, undated",,,,,,CONARTDaksinaKosala00041,,administrative/legal-royal_order-tax_regulation,,,,Sanskrit,brahmi_and_derivatives-northern_class_brahmi,late_Brahmi,,,,,,,,,,engraved,29,,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY-SA,,,,46
47,,INSDaksinaKosala00047,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,47
48,,INSDaksinaKosala00048,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,48
49,,INSDaksinaKosala00049,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,DHARMA_ conART00025_1.1v$DHARMA_ conART00025_4.seal,,49
50,,INSDaksinaKosala00050,,,,,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY-SA,,,,50
